produit,quantite,prix,region
Scanner,3,216.23,Est
Clavier,3,627.43,Est
Imprimante,4,277.18,Est
Clavier,7,604.0,Ouest
Clavier,5,1085.36,Est
Téléphone,6,452.7,Nord
Imprimante,3,945.59,Sud
Imprimante,5,410.33,Ouest
Imprimante,2,1119.48,Centre
Clavier,4,1176.74,Ouest
Scanner,3,500.07,Centre
Imprimante,3,84.5,Sud
Clavier,4,237.17,Est
Téléphone,8,761.89,Centre
Scanner,8,603.98,Est
Téléphone,1,551.06,Nord
Scanner,5,889.99,Centre
Clavier,2,284.18,Est
Ordinateur,6,712.19,Sud
Scanner,3,344.91,Sud
Téléphone,9,1472.54,Sud
Clavier,9,120.51,Centre
Scanner,8,72.88,Centre
Ordinateur,2,868.06,Centre
Ordinateur,2,140.81,Sud
Imprimante,2,1225.94,Nord
Imprimante,5,1238.41,Centre
Téléphone,9,676.78,Sud
Scanner,7,1265.64,Sud
Scanner,7,1123.74,Nord
Imprimante,3,246.35,Nord
Scanner,3,1296.42,Est
Scanner,3,1317.7,Nord
Ordinateur,1,517.93,Ouest
Imprimante,8,1173.74,Est
Clavier,2,1351.17,Sud
Imprimante,7,1131.18,Est
Clavier,9,186.32,Centre
Ordinateur,2,187.23,Ouest
Téléphone,1,1474.47,Nord
Scanner,5,834.96,Sud
Ordinateur,5,984.45,Ouest
Scanner,1,1372.78,Est
Téléphone,9,60.78,Est
Téléphone,3,668.7,Sud
Ordinateur,2,871.28,Sud
Téléphone,7,53.11,Ouest
Clavier,5,955.4,Nord
Téléphone,4,1283.86,Nord
Scanner,4,129.62,Est
Scanner,9,1216.13,Ouest
Scanner,9,1467.42,Ouest
Scanner,1,1384.42,Centre
Clavier,7,828.67,Sud
Imprimante,8,1297.67,Nord
Ordinateur,5,1167.42,Ouest
Scanner,7,1235.62,Sud
Téléphone,8,627.17,Est
Scanner,8,739.65,Nord
Téléphone,9,396.73,Ouest
Téléphone,5,124.78,Est
Scanner,2,915.98,Centre
Clavier,6,498.89,Centre
Téléphone,1,778.93,Centre
Téléphone,6,1445.9,Est
Scanner,3,141.57,Nord
Téléphone,3,1316.56,Est
Téléphone,7,175.81,Est
Scanner,4,997.69,Ouest
Scanner,5,547.73,Centre
Ordinateur,6,195.21,Nord
Clavier,6,1147.56,Ouest
Clavier,2,1062.95,Nord
Téléphone,3,978.37,Centre
Clavier,1,1449.08,Ouest
Téléphone,3,84.33,Sud
Ordinateur,8,680.26,Nord
Scanner,4,865.86,Nord
Scanner,2,568.67,Centre
Scanner,4,1020.77,Nord
Clavier,7,1353.84,Est
Ordinateur,9,1060.63,Est
Clavier,5,875.59,Ouest
Clavier,5,1119.87,Sud
Ordinateur,5,208.96,Ouest
Ordinateur,9,963.49,Sud
Ordinateur,7,640.5,Est
Ordinateur,3,512.25,Est
Scanner,2,785.31,Centre
Imprimante,9,1216.86,Est
Imprimante,3,648.23,Est
Ordinateur,8,1068.55,Nord
Imprimante,4,903.9,Centre
Imprimante,5,1378.43,Sud
Ordinateur,8,695.02,Nord
Imprimante,5,1238.88,Nord
Clavier,2,1270.87,Ouest
Téléphone,6,723.05,Centre
Téléphone,7,758.45,Ouest
Ordinateur,1,533.45,Est
Scanner,9,768.55,Est
Ordinateur,6,411.42,Sud
Scanner,4,1294.49,Est
Téléphone,2,412.37,Nord
Ordinateur,9,423.55,Ouest
Clavier,6,1348.7,Nord
Imprimante,9,821.63,Nord
Scanner,2,202.45,Centre
Imprimante,5,551.3,Sud
Imprimante,6,1072.81,Centre
Ordinateur,5,638.42,Centre
Imprimante,6,663.61,Est
Clavier,3,773.1,Est
Imprimante,9,372.63,Centre
Ordinateur,2,664.88,Sud
Clavier,2,362.25,Centre
Téléphone,5,558.58,Nord
Imprimante,3,821.94,Sud
Ordinateur,2,1055.9,Nord
Téléphone,6,969.19,Sud
Téléphone,6,884.51,Sud
Scanner,7,913.52,Est
Clavier,4,790.85,Centre
Imprimante,8,941.19,Nord
Ordinateur,3,594.5,Sud
Scanner,1,1354.2,Nord
Clavier,5,906.31,Nord
Scanner,6,1408.06,Nord
Clavier,3,636.64,Est
Clavier,2,622.05,Nord
Imprimante,3,1449.28,Ouest
Clavier,3,1107.13,Nord
Scanner,7,802.17,Sud
Clavier,1,1091.83,Est
Imprimante,4,625.25,Est
Imprimante,3,1150.27,Centre
Scanner,7,353.89,Nord
Téléphone,1,1428.78,Est
Téléphone,8,718.24,Est
Clavier,7,184.71,Ouest
Ordinateur,8,1275.27,Centre
Clavier,8,1346.82,Sud
Scanner,9,1108.44,Sud
Scanner,1,963.07,Centre
Scanner,9,1396.21,Centre
Scanner,1,951.98,Sud
Scanner,3,1197.55,Centre
Imprimante,7,733.31,Ouest
Téléphone,8,1104.45,Ouest
Scanner,5,1498.52,Sud
Ordinateur,1,604.63,Nord
Ordinateur,3,1094.15,Nord
Ordinateur,7,265.89,Ouest
Ordinateur,2,970.89,Est
Imprimante,2,518.19,Est
Ordinateur,9,1306.57,Sud
Scanner,6,571.48,Nord
Clavier,4,695.46,Sud
Ordinateur,9,1471.45,Nord
Imprimante,7,362.29,Ouest
Imprimante,7,868.9,Est
Ordinateur,8,1302.45,Nord
Clavier,3,506.5,Centre
Ordinateur,2,72.15,Centre
Imprimante,1,1349.69,Ouest
Téléphone,2,948.47,Sud
Scanner,3,384.12,Sud
Imprimante,5,450.69,Est
Ordinateur,8,1209.4,Centre
Scanner,3,981.04,Centre
Ordinateur,7,1112.27,Centre
Ordinateur,5,886.97,Centre
Téléphone,5,1195.56,Nord
Scanner,8,1240.55,Sud
Scanner,5,611.0,Sud
Téléphone,7,1356.39,Est
Imprimante,8,782.54,Nord
Ordinateur,8,282.24,Nord
Clavier,3,366.79,Nord
Ordinateur,4,1114.05,Centre
Ordinateur,8,597.14,Sud
Imprimante,5,430.54,Nord
Ordinateur,1,926.92,Centre
Téléphone,7,1184.29,Ouest
Téléphone,3,208.38,Est
Scanner,2,701.23,Centre
Clavier,5,1168.63,Ouest
Ordinateur,1,1360.26,Ouest
Ordinateur,9,69.65,Ouest
Imprimante,5,1001.33,Nord
Téléphone,6,916.19,Nord
Clavier,7,800.72,Nord
Scanner,9,282.29,Est
Téléphone,5,1125.59,Est
Scanner,4,619.55,Est
Imprimante,3,390.21,Nord
Imprimante,5,1282.54,Ouest
Ordinateur,3,495.19,Ouest
Clavier,5,337.7,Centre
Scanner,8,502.47,Centre
Téléphone,2,312.53,Sud
Imprimante,4,1177.05,Est
Ordinateur,8,314.0,Est
Ordinateur,5,1089.17,Sud
Scanner,8,285.63,Sud
Imprimante,6,378.14,Sud
Clavier,1,546.65,Centre
Imprimante,5,1427.59,Sud
Scanner,2,1375.03,Centre
Scanner,7,173.42,Nord
Imprimante,4,536.94,Centre
Scanner,2,552.2,Centre
